JAR Health Check Report
=======================

Duplicate Classes
-----------------
Duplicate classes, shadowed classes, and duplicate resources.

Class/Resource                                           | Sources                           | Similarity
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLHtmlElement                         | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLIFrameElement                       | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLImageElement                        | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLInputElement                        | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLIsIndexElement                      | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLLIElement                           | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLLabelElement                        | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLLegendElement                       | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLLinkElement                         | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLMapElement                          | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLMenuElement                         | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLMetaElement                         | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLModElement                          | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLOListElement                        | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLObjectElement                       | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLOptGroupElement                     | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLOptionElement                       | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLParagraphElement                    | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLParamElement                        | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLPreElement                          | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLQuoteElement                        | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLScriptElement                       | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLSelectElement                       | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLStyleElement                        | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLTableCaptionElement                 | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLTableCellElement                    | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLTableColElement                     | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLTableElement                        | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLTableRowElement                     | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLTableSectionElement                 | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLTextAreaElement                     | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLTitleElement                        | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLUListElement                        | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.ls.DOMImplementationLS                       | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.ls.LSException                               | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.ls.LSInput                                   | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.ls.LSLoadEvent                               | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.ls.LSOutput                                  | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.ls.LSParser                                  | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.ls.LSParserFilter                            | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.ls.LSProgressEvent                           | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.ls.LSResourceResolver                        | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.ls.LSSerializer                              | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.ls.LSSerializerFilter                        | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.ranges.DocumentRange                         | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.ranges.Range                                 | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.ranges.RangeException                        | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.stylesheets.DocumentStyle                    | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.stylesheets.LinkStyle                        | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.stylesheets.MediaList                        | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.stylesheets.StyleSheet                       | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.stylesheets.StyleSheetList                   | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.traversal.DocumentTraversal                  | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.traversal.NodeFilter                         | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.traversal.NodeIterator                       | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.traversal.TreeWalker                         | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.views.AbstractView                           | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.views.DocumentView                           | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.xpath.XPathEvaluator                         | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.xpath.XPathException                         | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.xpath.XPathExpression                        | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.xpath.XPathNSResolver                        | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.xpath.XPathNamespace                         | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.xpath.XPathResult                            | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.AttributeList                                | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.Attributes                                   | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.ContentHandler                               | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.DTDHandler                                   | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.DocumentHandler                              | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.EntityResolver                               | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.ErrorHandler                                 | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.HandlerBase                                  | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.InputSource                                  | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.Locator                                      | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.Parser                                       | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.SAXException                                 | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.SAXNotRecognizedException                    | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.SAXNotSupportedException                     | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.SAXParseException                            | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.XMLFilter                                    | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.XMLReader                                    | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.ext.Attributes2                              | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.ext.Attributes2Impl                          | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.ext.DeclHandler                              | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.ext.DefaultHandler2                          | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.ext.EntityResolver2                          | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.ext.LexicalHandler                           | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.ext.Locator2                                 | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.ext.Locator2Impl                             | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.helpers.AttributeListImpl                    | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.helpers.AttributesImpl                       | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.helpers.DefaultHandler                       | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.helpers.LocatorImpl                          | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.helpers.NamespaceSupport                     | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.helpers.NamespaceSupport$Context             | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.helpers.NewInstance                          | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.helpers.ParserAdapter                        | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.helpers.ParserAdapter$AttributeListAdapter   | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.helpers.ParserFactory                        | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.helpers.SecuritySupport                      | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.helpers.SecuritySupport$1                    | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.helpers.SecuritySupport$2                    | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.helpers.SecuritySupport$3                    | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.helpers.SecuritySupport$4                    | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.helpers.XMLFilterImpl                        | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.helpers.XMLReaderAdapter                     | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.helpers.XMLReaderAdapter$AttributesAdapter   | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.xml.sax.helpers.XMLReaderFactory                     | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |

